ID,Latitude,Longitude
4119117,10.54166667,-0.291666667
4119118,10.54166667,-0.208333333
4119119,10.54166667,-0.125
4119120,10.54166667,-0.041666667
4119121,10.54166667,0.041666667
4119122,10.54166667,0.125
4123406,10.45833333,-2.875
4123407,10.45833333,-2.791666667
4123408,10.45833333,-2.708333333
4123409,10.45833333,-2.625
4123410,10.45833333,-2.541666667
4123411,10.45833333,-2.458333333
4123412,10.45833333,-2.375
4123413,10.45833333,-2.291666667
4123414,10.45833333,-2.208333333
4123415,10.45833333,-2.125
4123416,10.45833333,-2.041666667
4123417,10.45833333,-1.958333333
4123418,10.45833333,-1.875
4123419,10.45833333,-1.791666667
4123420,10.45833333,-1.708333333
4123421,10.45833333,-1.625
4123422,10.45833333,-1.541666667
4123423,10.45833333,-1.458333333
4123424,10.45833333,-1.375
4123425,10.45833333,-1.291666667
4123426,10.45833333,-1.208333333
4123427,10.45833333,-1.125
4123428,10.45833333,-1.041666667
4123429,10.45833333,-0.958333333
4123430,10.45833333,-0.875
4123431,10.45833333,-0.791666667
4123432,10.45833333,-0.708333333
4123433,10.45833333,-0.625
4123434,10.45833333,-0.541666667
4123435,10.45833333,-0.458333333
4123436,10.45833333,-0.375
4123437,10.45833333,-0.291666667
4123438,10.45833333,-0.208333333
4123439,10.45833333,-0.125
4123440,10.45833333,-0.041666667
4123441,10.45833333,0.041666667
4123442,10.45833333,0.125
4123443,10.45833333,0.208333333
4123444,10.45833333,0.291666667
4127726,10.375,-2.875
4127727,10.375,-2.791666667
4127728,10.375,-2.708333333
4127729,10.375,-2.625
4127730,10.375,-2.541666667
4127731,10.375,-2.458333333
4127732,10.375,-2.375
4127733,10.375,-2.291666667
4127734,10.375,-2.208333333
4127735,10.375,-2.125
4127736,10.375,-2.041666667
4127737,10.375,-1.958333333
4127738,10.375,-1.875
4127739,10.375,-1.791666667
4127740,10.375,-1.708333333
4127741,10.375,-1.625
4127742,10.375,-1.541666667
4127743,10.375,-1.458333333
4127744,10.375,-1.375
4127745,10.375,-1.291666667
4127746,10.375,-1.208333333
4127747,10.375,-1.125
4127748,10.375,-1.041666667
4127749,10.375,-0.958333333
4127750,10.375,-0.875
4127751,10.375,-0.791666667
4127752,10.375,-0.708333333
4127753,10.375,-0.625
4127754,10.375,-0.541666667
4127755,10.375,-0.458333333
4127756,10.375,-0.375
4127757,10.375,-0.291666667
4127758,10.375,-0.208333333
4127759,10.375,-0.125
4127760,10.375,-0.041666667
4127761,10.375,0.041666667
4127762,10.375,0.125
4127763,10.375,0.208333333
4127764,10.375,0.291666667
4127765,10.375,0.375
4132046,10.29166667,-2.875
4132047,10.29166667,-2.791666667
4132048,10.29166667,-2.708333333
4132049,10.29166667,-2.625
4132050,10.29166667,-2.541666667
4132051,10.29166667,-2.458333333
4132052,10.29166667,-2.375
4132053,10.29166667,-2.291666667
4132054,10.29166667,-2.208333333
4132055,10.29166667,-2.125
4132056,10.29166667,-2.041666667
4132057,10.29166667,-1.958333333
4132058,10.29166667,-1.875
4132059,10.29166667,-1.791666667
4132060,10.29166667,-1.708333333
4132061,10.29166667,-1.625
4132062,10.29166667,-1.541666667
4132063,10.29166667,-1.458333333
4132064,10.29166667,-1.375
4132065,10.29166667,-1.291666667
4132066,10.29166667,-1.208333333
4132067,10.29166667,-1.125
4132068,10.29166667,-1.041666667
4132069,10.29166667,-0.958333333
4132070,10.29166667,-0.875
4132071,10.29166667,-0.791666667
4132072,10.29166667,-0.708333333
4132073,10.29166667,-0.625
4132074,10.29166667,-0.541666667
4132075,10.29166667,-0.458333333
4132076,10.29166667,-0.375
4132077,10.29166667,-0.291666667
4132078,10.29166667,-0.208333333
4132079,10.29166667,-0.125
4132080,10.29166667,-0.041666667
4132081,10.29166667,0.041666667
4132082,10.29166667,0.125
4132083,10.29166667,0.208333333
4132084,10.29166667,0.291666667
4132085,10.29166667,0.375
4136367,10.20833333,-2.791666667
4136368,10.20833333,-2.708333333
4136369,10.20833333,-2.625
4136370,10.20833333,-2.541666667
4136371,10.20833333,-2.458333333
4136372,10.20833333,-2.375
4136373,10.20833333,-2.291666667
4136374,10.20833333,-2.208333333
4136375,10.20833333,-2.125
4136376,10.20833333,-2.041666667
4136377,10.20833333,-1.958333333
4136378,10.20833333,-1.875
4136379,10.20833333,-1.791666667
4136380,10.20833333,-1.708333333
4136381,10.20833333,-1.625
4136382,10.20833333,-1.541666667
4136383,10.20833333,-1.458333333
4136384,10.20833333,-1.375
4136385,10.20833333,-1.291666667
4136386,10.20833333,-1.208333333
4136387,10.20833333,-1.125
4136388,10.20833333,-1.041666667
4136389,10.20833333,-0.958333333
4136390,10.20833333,-0.875
4136391,10.20833333,-0.791666667
4136392,10.20833333,-0.708333333
4136393,10.20833333,-0.625
4136394,10.20833333,-0.541666667
